Datum Zeit,Bautzen PM10
,µg/m³
31-05-07,
30-05-07,
29-05-07,
28-05-07,
27-05-07,
26-05-07,
25-05-07,
24-05-07,
23-05-07,
22-05-07,
21-05-07,
20-05-07,
19-05-07,
18-05-07,
17-05-07,
16-05-07,
15-05-07,
14-05-07,
13-05-07,
12-05-07,
11-05-07,
10-05-07,
09-05-07,
08-05-07,
07-05-07,
06-05-07,
05-05-07,
04-05-07,
03-05-07,
02-05-07,
01-05-07,

